anio,cohorte,grupo_educativo,orden_cohorte,orden_educ,edad_media,edad_intervalo,edad_intervalo_inicio,edad_intervalo_centro,ocupados,rem_trabajador,rem_hora
2010,1960--1970,Primaria o menos,0,1,45.558070846310244,45--54,45,49.5,1575712.7935670074,930191.9286422703,4494.220774687192
2015,1960--1970,Primaria o menos,0,1,50.393364387316964,45--54,45,49.5,1511561.677380831,937814.0538042376,4784.345761082465
2021,1960--1970,Primaria o menos,0,1,56.19370775398288,55--64,55,59.5,1067417.334587935,929223.6661726129,4955.342433495695
2025,1960--1970,Primaria o menos,0,1,60.2389758432764,55--64,55,59.5,1127518.4587278839,992431.0255150868,5441.4650277360215
2010,1960--1970,Secundaria o media,0,2,45.16592590183198,45--54,45,49.5,1500563.239248999,1359736.576444384,6415.264363756659
2015,1960--1970,Secundaria o media,0,2,50.08553651953897,45--54,45,49.5,1431123.6114191655,1353841.821139053,6613.759046233175
2021,1960--1970,Secundaria o media,0,2,55.85026633963683,55--64,55,59.5,948117.8252526963,1317490.3540356634,6769.071889140415
2025,1960--1970,Secundaria o media,0,2,59.82443708583205,55--64,55,59.5,973417.8435063814,1362556.2962366382,7304.4368005698625
2010,1960--1970,Superior o universitaria,0,3,45.21008081156064,45--54,45,49.5,760381.5617500844,4034728.7033679048,20685.543228988085
2015,1960--1970,Superior o universitaria,0,3,50.10984569343933,45--54,45,49.5,754026.5013091859,3748815.677823908,19581.105982896494
2021,1960--1970,Superior o universitaria,0,3,55.856645622119174,55--64,55,59.5,557251.9189708063,4424294.221992905,22992.729240112956
2025,1960--1970,Superior o universitaria,0,3,59.670880648099526,55--64,55,59.5,573523.1187248928,4086507.079780816,22829.747343743802
2010,1970--1980,Primaria o menos,1,1,35.9023906233077,35--44,35,39.5,1307707.3760045222,940746.5129529769,4520.62091310398
2015,1970--1980,Primaria o menos,1,1,40.79155631437368,35--44,35,39.5,1336335.181602674,967109.0899410426,4817.794024783185
2021,1970--1980,Primaria o menos,1,1,46.72171477081594,45--54,45,49.5,1134343.5762137424,929284.9488212874,4892.6394567270945
2025,1970--1980,Primaria o menos,1,1,50.659449130900526,45--54,45,49.5,1304841.4789444585,1081796.3302859524,5762.8507191264625
2010,1970--1980,Secundaria o media,1,2,35.450192786496416,35--44,35,39.5,1761963.4792178886,1249644.1846923984,5805.521965165565
2015,1970--1980,Secundaria o media,1,2,40.41075779225981,35--44,35,39.5,1765928.106845341,1338703.9657299782,6432.328878759776
2021,1970--1980,Secundaria o media,1,2,46.221876310835505,45--54,45,49.5,1508598.3714638285,1311309.8880891406,6587.813647222747
2025,1970--1980,Secundaria o media,1,2,50.19510723421344,45--54,45,49.5,1792156.2726617255,1428947.1742697617,7304.693516781296
2010,1970--1980,Superior o universitaria,1,3,35.10557518711246,35--44,35,39.5,1085363.0124238012,3243305.037238719,16165.50174388602
2015,1970--1980,Superior o universitaria,1,3,39.971498374776736,35--44,35,39.5,1089987.606343208,3334639.6274241726,17022.855419095828
2021,1970--1980,Superior o universitaria,1,3,46.07053817788841,45--54,45,49.5,1005975.4946672905,3985745.2885823264,20004.361849796976
2025,1970--1980,Superior o universitaria,1,3,49.92383906624257,45--54,45,49.5,1218762.291774959,4062189.0175626515,21498.21667734885
2010,1980--1990,Primaria o menos,2,1,26.133814104466747,25--34,25,29.5,804636.1649018133,805135.8436799248,3882.4457044604383
2015,1980--1990,Primaria o menos,2,1,31.000431109715077,25--34,25,29.5,832726.9614287518,956009.8495928274,4745.243882649319
2021,1980--1990,Primaria o menos,2,1,36.88619077344023,35--44,35,39.5,785062.5906027565,915120.5295765027,4721.17662211863
2025,1980--1990,Primaria o menos,2,1,40.969491565317206,35--44,35,39.5,966630.2769752855,1070444.665708334,5650.810257385702
2010,1980--1990,Secundaria o media,2,2,25.584609083793975,25--34,25,29.5,2113289.5983607443,1089266.2057040243,5078.068973769997
2015,1980--1990,Secundaria o media,2,2,30.463341591487843,25--34,25,29.5,2163615.6574382978,1238520.223828159,5913.595751976173
2021,1980--1990,Secundaria o media,2,2,36.43861597270148,35--44,35,39.5,2071201.6812888905,1254451.8889459455,6220.42961065493
2025,1980--1990,Secundaria o media,2,2,40.436863046960035,35--44,35,39.5,2500069.321685018,1415973.7216652508,7161.429215738983
2010,1980--1990,Superior o universitaria,2,3,25.899671305186445,25--34,25,29.5,1321623.3284915253,2107536.458652271,10806.172477247823
2015,1980--1990,Superior o universitaria,2,3,30.302053882012096,25--34,25,29.5,1751976.7876287438,2535969.687719231,12801.331092823983
2021,1980--1990,Superior o universitaria,2,3,36.28433775984553,35--44,35,39.5,1634823.9818001883,3473194.155901965,17320.99442598008
2025,1980--1990,Superior o universitaria,2,3,40.33469976333452,35--44,35,39.5,2111737.1248277687,3752646.360132617,19534.10781254837
2010,1990--2000,Primaria o menos,3,1,17.978670128517084,15--24,15,19.5,219263.39329558416,611339.1592756562,3156.2789687817444
2015,1990--2000,Primaria o menos,3,1,21.296797345339407,15--24,15,19.5,371136.29475098755,796641.7398506318,4104.084843203732
2021,1990--2000,Primaria o menos,3,1,27.194767196015725,25--34,25,29.5,406940.4196756269,870243.3036129769,4455.044867864093
2025,1990--2000,Primaria o menos,3,1,31.226359493870532,25--34,25,29.5,482474.12707231985,1027007.5442315593,5429.978125183471
2010,1990--2000,Secundaria o media,3,2,18.178767261246193,15--24,15,19.5,715779.6760801922,691695.9855336394,3820.3776347234207
2015,1990--2000,Secundaria o media,3,2,21.154689494340527,15--24,15,19.5,1876580.7317885037,975979.1492004378,4994.857568685452
2021,1990--2000,Secundaria o media,3,2,26.487966509860044,25--34,25,29.5,2388824.3551312247,1121953.105349116,5633.549358487102
2025,1990--2000,Secundaria o media,3,2,30.500352170706954,25--34,25,29.5,2859674.761612526,1364693.1285176591,6928.877463374074
2010,1990--2000,Superior o universitaria,3,3,19.093600254744132,15--24,15,19.5,193740.37103393395,915237.4109668754,5687.023355515482
2015,1990--2000,Superior o universitaria,3,3,22.22110925548064,15--24,15,19.5,1104512.1881431742,1433095.6066429191,7821.501516972741
2021,1990--2000,Superior o universitaria,3,3,26.924105747698434,25--34,25,29.5,1717160.6758658316,2314505.8960265066,11708.975236534285
2025,1990--2000,Superior o universitaria,3,3,30.567310765328656,25--34,25,29.5,2644435.759603033,2785584.7717917357,14573.209209197059
2015,2000--2010,Primaria o menos,4,1,15.000000000000004,15--24,15,19.5,16481.62040375198,560104.5569589251,3722.7957723267864
2021,2000--2010,Primaria o menos,4,1,18.649596719510775,15--24,15,19.5,101694.2139999435,622951.7024684085,3485.2486906341887
2025,2000--2010,Primaria o menos,4,1,21.508869333395364,15--24,15,19.5,219286.07440542546,913907.5427297096,4846.451913401508
2015,2000--2010,Secundaria o media,4,2,15.000000000000002,15--24,15,19.5,42951.03599635845,374531.6051971899,3206.047579066446
2021,2000--2010,Secundaria o media,4,2,19.236223815632513,15--24,15,19.5,801277.460169684,848223.4615698563,4672.1014482191595
2025,2000--2010,Secundaria o media,4,2,21.578567007826695,15--24,15,19.5,1974504.7575761047,1158632.266103592,6149.6215043641605
2015,2000--2010,Superior o universitaria,4,3,15.0,15--24,15,19.5,142.86503424152528,345871.66382737085,7981.6537806316355
2021,2000--2010,Superior o universitaria,4,3,20.07684388490965,15--24,15,19.5,202502.78921441198,1177256.2378875106,6642.722072822985
2025,2000--2010,Superior o universitaria,4,3,22.59513143850807,15--24,15,19.5,1045718.6118744127,1700527.4391164987,9520.65130224463
